"Mygento - Extensions Information","Mygento - Информация о разработчике"
"Mygento Extensions","Модули Mygento"
"Extensions and Support","Модули и поддержка"
"Extensions information","Информация о разработчике"
"Installed Extensions","Установленные модули"
"Support:","Поддержка:"
"License:","Лицензирование:"
"Purchased extensions support is available through <a href=""%s"" target=""_blank"">ticket tracking system</a>","Отправить запрос по поддержке платных модулей через <a href=""%s"" target=""_blank"">тикет-систему</a>"
"Please report all bugs and feature requests.","Пожалуйста, сообщайте нам о найденных ошибках и своих пожеланиях по улучшению/добавлению функционала."
"If for some reasons you can not submit ticket to our system, you can write us an email %s.","Если у вас не получается оставить заявку в нашей системе, то вы можете написать нам на email %s."
"You can check all providable services on <a href=""%s"" target=""_blank"">our website</a>.","Со списком предоставляемых услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"You can hire us for any Magento extension customization and development.<br/>Write us to %s","Вы можете нанять нашу команду для любых работ с модулями Magento.<br/>Пишите нам на %s"
"Tender offer can be checked <a href=""http://www.mygento.ru/oferta"" target=""_blank"">here</a>","Ознакомиться с публичной офертой можно <a href=""http://www.mygento.ru/oferta"" target=""_blank"">здесь</a>"